MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
1,BRA,1,BRA,433,566,67.78571428571429,3.0,14.0,9.0,5.0,20.0,102.09199999999998,40566,1.0,31480,2.0,0.0,9.571428571428571,83.28571428571429,329.0,49.142857142857146,27.928571428571427,1,1,2018
1,CRO,1,CRO,284,410,67.07692307692308,1.0,10.0,4.0,21.0,5.0,109.16400000000002,32441,0.0,45832,2.0,0.0,9.461538461538462,82.0,334.0,33.46153846153846,15.076923076923077,3,-1,2018
2,CMR,2,CMR,284,391,70.38461538461539,0.0,10.0,4.0,12.0,9.0,100.065,27962,3.0,38934,1.0,0.0,7.538461538461538,85.92307692307692,318.0,41.61538461538461,19.615384615384617,1,-1,2018
2,MEX,2,MEX,484,598,74.64285714285714,1.0,9.0,5.0,11.0,11.0,104.43499999999999,38438,5.0,30042,1.0,0.0,9.357142857142858,83.0,320.0,44.07142857142857,18.0,0,1,2018
3,ESP,3,ESP,566,680,80.64285714285714,1.0,9.0,6.0,5.0,17.0,102.03700000000002,39998,0.0,34605,0.0,0.0,8.071428571428571,84.21428571428571,340.0,47.0,19.071428571428573,5,-1,2018
3,NED,3,NED,318,425,73.71428571428571,5.0,13.0,11.0,18.0,4.0,109.38100000000001,36945,0.0,43749,0.0,0.0,9.5,82.14285714285714,384.0,35.0,12.928571428571429,1,1,2018
4,AUS,4,AUS,324,434,72.07142857142857,1.0,13.0,6.0,18.0,8.0,115.89,32605,1.0,54831,3.0,0.0,10.928571428571429,79.28571428571429,388.0,36.857142857142854,15.928571428571429,3,-1,2018
4,CHI,4,CHI,615,729,82.0,3.0,11.0,9.0,9.0,18.0,113.54999999999998,50997,1.0,33257,1.0,0.0,10.714285714285714,80.57142857142857,475.0,49.57142857142857,21.0,1,1,2018
5,COL,5,COL,328,430,74.57142857142857,3.0,12.0,8.0,19.0,14.0,107.61600000000001,36943,0.0,41128,0.0,0.0,9.571428571428571,82.64285714285714,366.0,37.857142857142854,16.642857142857142,0,1,2018
5,GRE,5,GRE,377,501,75.28571428571429,0.0,12.0,7.0,14.0,17.0,104.85099999999997,39888,0.0,36408,0.0,0.0,9.214285714285714,83.14285714285714,325.0,44.285714285714285,21.5,3,-1,2018
6,CIV,6,CIV,456,570,77.71428571428571,2.0,20.0,10.0,12.0,13.0,97.22499999999998,39681,3.0,31274,2.0,0.0,7.714285714285714,85.85714285714286,299.0,44.92857142857143,19.857142857142858,1,1,2018
6,JPN,6,JPN,326,456,69.78571428571429,1.0,7.0,4.0,13.0,11.0,108.251,33787,1.0,46252,2.0,0.0,8.928571428571429,82.71428571428571,403.0,40.142857142857146,15.714285714285714,2,-1,2018
7,CRC,7,CRC,313,443,62.142857142857146,3.0,12.0,4.0,18.0,20.0,108.605,31894,0.0,34327,0.0,0.0,8.571428571428571,83.57142857142857,306.0,43.5,20.642857142857142,1,1,2018
7,URU,7,URU,387,513,74.21428571428571,1.0,9.0,5.0,20.0,18.0,104.25800000000001,32419,0.0,30920,0.0,0.0,8.642857142857142,83.35714285714286,275.0,42.357142857142854,17.214285714285715,3,-1,2018
8,ENG,8,ENG,467,544,85.07142857142857,1.0,18.0,8.0,8.0,12.0,107.25200000000001,40389,0.0,45937,0.0,0.0,8.214285714285714,83.78571428571429,301.0,52.142857142857146,28.428571428571427,2,-1,2018
8,ITA,8,ITA,606,679,85.92857142857143,2.0,12.0,5.0,12.0,8.0,110.458,45973,0.0,43791,0.0,0.0,9.0,82.14285714285714,301.0,30.571428571428573,12.642857142857142,1,1,2018
9,ECU,9,ECU,266,376,70.61538461538461,1.0,10.0,6.0,15.0,9.0,98.91600000000001,29591,0.0,40456,0.0,0.0,7.769230769230769,85.53846153846153,306.0,36.23076923076923,16.153846153846153,2,-1,2018
9,SUI,9,SUI,468,583,78.46153846153847,2.0,18.0,12.0,9.0,14.0,113.628,45034,0.0,36512,0.0,0.0,10.153846153846153,81.07692307692308,397.0,49.61538461538461,25.076923076923077,1,1,2018
10,FRA,10,FRA,624,717,84.07142857142857,2.0,20.0,10.0,13.0,12.0,108.179,49888,1.0,29480,3.0,0.0,9.571428571428571,81.92857142857143,338.0,59.714285714285715,32.142857142857146,0,1,2018
10,HON,10,HON,251,347,73.5,0.0,4.0,2.0,14.0,13.0,98.773,25456,2.0,47572,2.0,0.0,8.428571428571429,83.85714285714286,320.0,19.285714285714285,5.071428571428571,2,-1,2018
11,ARG,11,ARG,536,637,80.35714285714286,1.0,11.0,5.0,10.0,13.0,105.432,42545,0.0,38247,1.0,0.0,9.428571428571429,82.42857142857143,337.0,40.5,16.0,1,0,2018
11,BIH,11,BIH,392,498,76.35714285714286,1.0,16.0,11.0,14.0,9.0,115.488,40018,3.0,49120,1.0,0.0,10.571428571428571,79.71428571428571,388.0,40.642857142857146,18.642857142857142,1,0,2018
12,IRN,12,IRN,192,309,63.92307692307692,0.0,7.0,3.0,18.0,14.0,108.28900000000002,27491,0.0,46087,0.0,0.0,9.615384615384615,81.92307692307692,363.0,27.384615384615383,10.23076923076923,0,0,2018
12,NGA,12,NGA,464,602,73.71428571428571,0.0,10.0,6.0,16.0,18.0,100.10400000000001,40970,0.0,27237,0.0,0.0,7.928571428571429,84.57142857142857,330.0,50.92857142857143,24.928571428571427,0,0,2018
13,GER,13,GER,483,588,81.28571428571429,4.0,13.0,9.0,8.0,11.0,111.65100000000002,42722,2.0,39835,0.0,0.0,9.571428571428571,81.35714285714286,318.0,38.642857142857146,17.571428571428573,0,1,2018
13,POR,13,POR,391,491,79.21428571428571,0.0,14.0,9.0,11.0,8.0,101.868,34396,1.0,41538,1.0,1.0,8.928571428571429,82.71428571428571,306.0,38.92857142857143,15.714285714285714,4,-1,2018
14,GHA,14,GHA,445,588,74.85714285714286,1.0,21.0,8.0,10.0,12.0,110.574,42245,0.0,30455,0.0,0.0,9.071428571428571,83.0,418.0,52.214285714285715,25.428571428571427,2,-1,2018
14,USA,14,USA,281,429,65.42857142857143,2.0,8.0,7.0,12.0,10.0,116.978,31301,0.0,46071,0.0,0.0,9.285714285714286,82.0,410.0,31.214285714285715,12.571428571428571,1,1,2018
15,ALG,15,ALG,206,336,64.07142857142857,1.0,3.0,1.0,18.0,18.0,113.46899999999998,28402,0.0,52847,0.0,0.0,10.0,81.07142857142857,294.0,24.928571428571427,8.928571428571429,2,-1,2018
15,BEL,15,BEL,547,665,76.78571428571429,2.0,16.0,10.0,20.0,17.0,109.962,49566,0.0,28901,0.0,0.0,9.428571428571429,82.07142857142857,306.0,59.5,31.857142857142858,1,1,2018
16,KOR,16,KOR,426,550,76.14285714285714,1.0,10.0,6.0,7.0,15.0,108.12899999999999,39673,0.0,39585,0.0,0.0,8.571428571428571,82.5,311.0,36.642857142857146,17.214285714285715,1,0,2018
16,RUS,16,RUS,408,542,73.92857142857143,1.0,16.0,10.0,15.0,7.0,113.809,40529,0.0,43960,0.0,0.0,10.714285714285714,79.57142857142857,334.0,43.5,21.357142857142858,1,0,2018
17,BRA,17,BRA,352,476,73.14285714285714,0.0,14.0,8.0,13.0,17.0,97.35000000000001,35177,0.0,34195,0.0,0.0,8.071428571428571,85.0,318.0,47.42857142857143,23.071428571428573,0,0,2018
17,MEX,17,MEX,299,404,67.92857142857143,0.0,13.0,3.0,18.0,13.0,100.23400000000001,33676,0.0,37560,0.0,0.0,9.071428571428571,84.21428571428571,313.0,40.285714285714285,17.714285714285715,0,0,2018
18,CMR,18,CMR,273,384,69.35714285714286,0.0,18.0,7.0,11.0,9.0,92.57000000000001,26656,0.0,33655,0.0,1.0,7.928571428571429,84.92857142857143,314.0,44.07142857142857,20.428571428571427,4,-1,2018
18,CRO,18,CRO,361,466,75.21428571428571,4.0,21.0,14.0,9.0,11.0,101.45400000000002,34796,4.0,30242,1.0,0.0,8.642857142857142,84.35714285714286,354.0,42.07142857142857,19.285714285714285,0,1,2018
19,CHI,19,CHI,332,464,72.35714285714286,2.0,7.0,4.0,15.0,14.0,117.58999999999999,33430,0.0,53663,0.0,0.0,11.785714285714286,80.07142857142857,462.0,30.071428571428573,10.785714285714286,0,1,2018
19,ESP,19,ESP,579,705,79.14285714285714,0.0,15.0,9.0,14.0,15.0,109.25700000000002,49152,0.0,32385,0.0,0.0,8.928571428571429,83.07142857142857,369.0,54.642857142857146,26.928571428571427,2,-1,2018
20,AUS,20,AUS,376,500,66.28571428571429,2.0,10.0,8.0,18.0,22.0,120.554,40638,1.0,47526,1.0,0.0,11.714285714285714,78.57142857142857,413.0,47.785714285714285,20.428571428571427,3,-1,2018
20,NED,20,NED,384,496,70.71428571428571,3.0,15.0,14.0,25.0,18.0,115.075,44454,1.0,39949,1.0,0.0,10.5,80.0,383.0,38.42857142857143,12.857142857142858,2,1,2018
21,CIV,21,CIV,377,484,75.78571428571429,1.0,15.0,12.0,14.0,11.0,94.689,35338,0.0,30493,0.0,0.0,7.714285714285714,85.85714285714286,305.0,50.142857142857146,26.071428571428573,2,-1,2018
21,COL,21,COL,292,407,70.21428571428571,2.0,11.0,7.0,11.0,13.0,102.063,32047,0.0,38857,0.0,0.0,8.428571428571429,84.28571428571429,348.0,31.857142857142858,13.642857142857142,1,1,2018
22,GRE,22,GRE,144,243,58.57142857142857,0.0,9.0,5.0,18.0,21.0,95.556,20880,3.0,40489,2.0,0.0,8.071428571428571,85.07142857142857,301.0,31.142857142857142,13.5,0,0,2018
22,JPN,22,JPN,570,662,85.53846153846153,0.0,16.0,11.0,23.0,17.0,102.02499999999999,42755,1.0,23380,1.0,0.0,8.23076923076923,84.07692307692308,349.0,52.07692307692308,28.0,0,0,2018
23,ENG,23,ENG,415,548,70.21428571428571,1.0,13.0,8.0,12.0,16.0,104.21799999999999,41688,0.0,26921,0.0,0.0,9.0,83.64285714285714,384.0,50.57142857142857,28.571428571428573,2,-1,2018
23,URU,23,URU,185,320,59.0,2.0,10.0,6.0,17.0,12.0,105.35200000000002,26594,0.0,43002,0.0,0.0,9.785714285714286,82.5,404.0,30.071428571428573,13.714285714285714,1,1,2018
24,CRC,24,CRC,304,406,71.71428571428571,1.0,10.0,6.0,24.0,10.0,107.1,30793,0.0,45013,0.0,0.0,8.785714285714286,83.5,334.0,40.142857142857146,15.285714285714286,0,1,2018
24,ITA,24,ITA,522,612,78.0,0.0,10.0,6.0,10.0,22.0,104.46900000000001,41956,0.0,32281,0.0,0.0,8.071428571428571,84.14285714285714,269.0,45.92857142857143,17.142857142857142,1,-1,2018
25,FRA,25,FRA,335,443,76.28571428571429,5.0,22.0,16.0,16.0,12.0,105.63900000000001,33069,0.0,42580,0.0,0.0,9.0,83.14285714285714,363.0,33.92857142857143,12.214285714285714,2,1,2018
25,SUI,25,SUI,469,578,80.64285714285714,2.0,17.0,8.0,12.0,15.0,106.168,42103,0.0,34193,0.0,0.0,8.928571428571429,83.21428571428571,364.0,41.785714285714285,17.928571428571427,5,-1,2018
26,ECU,26,ECU,303,439,60.57142857142857,2.0,8.0,5.0,17.0,13.0,95.043,32844,1.0,31092,3.0,0.0,7.571428571428571,86.0,305.0,39.142857142857146,18.5,1,1,2018
26,HON,26,HON,299,429,68.07142857142857,1.0,16.0,9.0,15.0,15.0,95.8,30607,1.0,34549,2.0,0.0,7.285714285714286,86.14285714285714,329.0,38.142857142857146,15.714285714285714,2,-1,2018
27,ARG,27,ARG,510,630,75.71428571428571,1.0,19.0,9.0,8.0,14.0,100.299,46628,0.0,21984,0.0,0.0,8.0,85.14285714285714,323.0,57.214285714285715,33.285714285714285,0,1,2018
27,IRN,27,IRN,136,242,58.07142857142857,0.0,8.0,4.0,14.0,7.0,108.03,22350,1.0,51201,2.0,0.0,10.0,82.07142857142857,333.0,22.214285714285715,10.0,1,-1,2018
28,BIH,28,BIH,475,596,75.78571428571429,0.0,18.0,10.0,7.0,9.0,110.32000000000002,46479,0.0,39320,0.0,0.0,9.285714285714286,82.78571428571429,349.0,48.857142857142854,23.857142857142858,1,-1,2018
28,NGA,28,NGA,299,422,65.92307692307692,1.0,20.0,13.0,9.0,7.0,103.27300000000001,34843,0.0,45499,0.0,0.0,8.461538461538462,84.15384615384616,348.0,35.07692307692308,15.615384615384615,0,1,2018
29,GER,29,GER,584,713,78.92857142857143,2.0,11.0,6.0,11.0,16.0,116.87799999999999,49430,1.0,39879,0.0,0.0,10.714285714285714,80.07142857142857,389.0,44.857142857142854,20.285714285714285,2,0,2018
29,GHA,29,GHA,335,453,75.92857142857143,2.0,20.0,10.0,17.0,11.0,110.737,36735,5.0,48211,1.0,0.0,10.214285714285714,81.57142857142857,412.0,38.57142857142857,16.0,2,0,2018
30,POR,30,POR,488,582,84.5,2.0,20.0,9.0,14.0,11.0,106.51499999999999,39712,0.0,38468,0.0,0.0,8.428571428571429,83.57142857142857,293.0,46.785714285714285,21.071428571428573,2,0,2018
30,USA,30,USA,453,553,75.5,2.0,15.0,10.0,11.0,13.0,110.29,38661,0.0,42535,0.0,0.0,9.571428571428571,82.35714285714286,357.0,33.42857142857143,11.714285714285714,2,0,2018
31,BEL,31,BEL,355,500,68.64285714285714,1.0,11.0,7.0,14.0,7.0,108.15400000000001,37794,0.0,37677,0.0,0.0,9.214285714285714,83.35714285714286,334.0,43.857142857142854,20.857142857142858,0,1,2018
31,RUS,31,RUS,329,470,66.92857142857143,0.0,13.0,6.0,9.0,12.0,117.70800000000001,39697,0.0,43190,0.0,0.0,11.5,79.5,400.0,37.285714285714285,16.142857142857142,1,-1,2018
32,ALG,32,ALG,331,458,66.0,4.0,15.0,8.0,16.0,13.0,113.819,37100,0.0,40645,0.0,0.0,10.142857142857142,80.92857142857143,440.0,33.142857142857146,16.0,2,1,2018
32,KOR,32,KOR,356,491,66.42857142857143,2.0,9.0,6.0,13.0,16.0,112.90199999999997,39248,0.0,37639,0.0,0.0,10.071428571428571,81.07142857142857,412.0,47.714285714285715,24.642857142857142,4,-1,2018
33,BRA,33,BRA,373,486,74.0,4.0,19.0,18.0,19.0,14.0,101.583,38267,3.0,31825,0.0,0.0,9.714285714285714,83.0,431.0,42.142857142857146,19.5,1,1,2018
33,CMR,33,CMR,321,433,71.14285714285714,1.0,12.0,6.0,14.0,19.0,99.30899999999997,30414,1.0,37746,3.0,0.0,8.285714285714286,84.92857142857143,362.0,44.0,17.857142857142858,4,-1,2018
34,CRO,34,CRO,376,506,70.21428571428571,1.0,10.0,5.0,18.0,11.0,103.73500000000001,37222,0.0,31418,0.0,0.0,8.642857142857142,84.35714285714286,378.0,44.42857142857143,22.928571428571427,3,-1,2018
34,MEX,34,MEX,299,434,73.42857142857143,3.0,12.0,7.0,12.0,18.0,108.23400000000001,31231,0.0,39517,0.0,0.0,9.428571428571429,82.71428571428571,365.0,39.5,19.571428571428573,1,1,2018
35,AUS,35,AUS,415,542,74.5,0.0,4.0,0.0,14.0,9.0,117.86800000000001,38687,1.0,53630,2.0,0.0,11.142857142857142,78.85714285714286,389.0,42.57142857142857,17.428571428571427,3,-1,2018
35,ESP,35,ESP,572,705,80.85714285714286,3.0,11.0,8.0,9.0,13.0,114.16399999999999,50088,6.0,37632,1.0,0.0,9.642857142857142,80.78571428571429,331.0,45.785714285714285,20.428571428571427,0,1,2018
36,CHI,36,CHI,479,609,75.35714285714286,0.0,7.0,1.0,14.0,23.0,104.22800000000001,41278,0.0,26573,0.0,0.0,9.357142857142858,83.0,406.0,50.5,23.357142857142858,2,-1,2018
36,NED,36,NED,197,317,58.07142857142857,2.0,13.0,8.0,26.0,13.0,103.79599999999999,26616,0.0,42498,0.0,0.0,9.071428571428571,83.07142857142857,341.0,31.857142857142858,13.428571428571429,0,1,2018
37,COL,37,COL,265,401,64.71428571428571,4.0,13.0,9.0,19.0,10.0,104.80499999999999,35762,2.0,41167,1.0,0.0,8.285714285714286,84.64285714285714,375.0,28.5,11.642857142857142,1,1,2018
37,JPN,37,JPN,380,517,71.85714285714286,1.0,23.0,13.0,10.0,19.0,107.21099999999998,42700,0.0,36830,1.0,0.0,10.571428571428571,81.07142857142857,430.0,54.285714285714285,28.428571428571427,4,-1,2018
38,CIV,38,CIV,382,478,71.92857142857143,1.0,13.0,9.0,23.0,12.0,95.43700000000001,33348,0.0,29812,0.0,0.0,7.714285714285714,86.0,305.0,37.714285714285715,16.285714285714285,2,-1,2018
38,GRE,38,GRE,265,351,67.5,2.0,13.0,5.0,13.0,22.0,103.75099999999999,30785,0.0,37608,0.0,0.0,7.857142857142857,85.85714285714286,341.0,40.5,18.785714285714285,1,1,2018
39,ITA,39,ITA,452,568,74.35714285714286,0.0,9.0,5.0,19.0,19.0,106.39,38768,0.0,32253,0.0,0.0,8.928571428571429,82.78571428571429,264.0,40.642857142857146,20.785714285714285,1,-1,2018
39,URU,39,URU,323,446,71.71428571428571,1.0,14.0,9.0,20.0,15.0,104.30799999999999,30681,0.0,38853,0.0,0.0,8.785714285714286,83.35714285714286,281.0,43.57142857142857,22.5,0,1,2018
40,CRC,40,CRC,333,468,70.85714285714286,0.0,4.0,3.0,17.0,14.0,108.97299999999998,34494,0.0,42667,0.0,0.0,10.285714285714286,81.21428571428571,393.0,37.92857142857143,12.785714285714286,0,0,2018
40,ENG,40,ENG,404,552,69.92857142857143,0.0,8.0,3.0,17.0,17.0,107.475,40242,0.0,35187,0.0,0.0,9.928571428571429,82.14285714285714,400.0,47.5,20.571428571428573,0,0,2018
41,HON,41,HON,496,599,79.71428571428571,0.0,13.0,6.0,17.0,18.0,93.75700000000002,38874,0.0,30019,1.0,0.0,6.857142857142857,86.85714285714286,275.0,51.0,23.5,3,-1,2018
41,SUI,41,SUI,282,382,67.35714285714286,3.0,16.0,13.0,18.0,17.0,105.90799999999997,32500,2.0,45121,0.0,0.0,8.428571428571429,83.35714285714286,298.0,34.785714285714285,13.0,0,1,2018
42,ECU,42,ECU,230,366,54.92857142857143,0.0,11.0,7.0,17.0,6.0,102.29099999999998,29497,0.0,43661,0.0,0.0,8.857142857142858,83.71428571428571,356.0,32.142857142857146,11.142857142857142,0,0,2018
42,FRA,42,FRA,508,640,78.92857142857143,0.0,20.0,13.0,6.0,15.0,110.973,45551,0.0,34089,0.0,0.0,9.642857142857142,82.28571428571429,407.0,50.57142857142857,27.0,0,0,2018
43,ARG,43,ARG,479,615,76.71428571428571,3.0,18.0,13.0,6.0,17.0,102.062,40339,1.0,34457,0.0,0.0,9.5,83.0,359.0,46.785714285714285,22.928571428571427,2,1,2018
43,NGA,43,NGA,308,435,69.76923076923077,2.0,12.0,7.0,17.0,6.0,102.34800000000001,32948,1.0,42521,2.0,0.0,9.0,83.38461538461539,394.0,37.76923076923077,16.384615384615383,3,-1,2018
44,BIH,44,BIH,543,670,76.35714285714286,3.0,13.0,9.0,20.0,16.0,111.96699999999998,48513,0.0,30147,0.0,0.0,9.0,82.85714285714286,359.0,44.357142857142854,18.785714285714285,1,1,2018
44,IRN,44,IRN,276,399,68.28571428571429,1.0,7.0,5.0,17.0,19.0,107.15800000000002,28165,0.0,48348,0.0,0.0,9.214285714285714,82.78571428571429,385.0,39.285714285714285,18.214285714285715,3,-1,2018
45,GER,45,GER,725,819,84.07142857142857,1.0,13.0,9.0,9.0,14.0,112.79100000000001,51544,7.0,33715,1.0,0.0,9.785714285714286,81.35714285714286,333.0,54.214285714285715,23.571428571428573,0,1,2018
45,USA,45,USA,363,458,75.84615384615384,0.0,4.0,1.0,15.0,9.0,114.545,31429,2.0,55756,2.0,0.0,10.153846153846153,81.07692307692308,423.0,31.615384615384617,11.153846153846153,1,-1,2018
46,GHA,46,GHA,285,424,68.5,1.0,18.0,6.0,16.0,20.0,111.49500000000002,35999,0.0,43635,0.0,0.0,10.142857142857142,81.71428571428571,410.0,42.642857142857146,18.357142857142858,1,0,2018
46,POR,46,POR,418,568,70.64285714285714,1.0,19.0,10.0,21.0,16.0,114.66,42760,0.0,38512,0.0,0.0,9.571428571428571,82.14285714285714,409.0,40.0,17.785714285714285,1,0,2018
47,BEL,47,BEL,285,421,66.42857142857143,1.0,16.0,11.0,11.0,16.0,104.69699999999999,34342,0.0,38593,0.0,0.0,9.214285714285714,82.85714285714286,370.0,42.5,20.785714285714285,0,1,2018
47,KOR,47,KOR,368,501,72.92857142857143,0.0,18.0,12.0,16.0,11.0,111.96700000000001,39974,0.0,37427,0.0,0.0,10.214285714285714,81.0,438.0,44.142857142857146,22.357142857142858,1,-1,2018
